name,specialties,city,experience,fee,photoUrl,rating,about,isAvailableForCallNow
Asst. Prof. Dr. Ahmed Abdul Habib,"Orthopedic Surgeon",Quetta,8.0,1200.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Ahmed Abdul Habib is a dedicated professional with a passion for patient care.,True
Dr. Ahmer Ali,"Orthopedic Surgeon",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Ahmer Ali is a dedicated professional with a passion for patient care.,False
Dr. Muhammad Saleem Qureshi,"Orthopedic Surgeon",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Muhammad Saleem Qureshi is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Muhammad Tariq Hasni,"Orthopedic Surgeon",Quetta,15.0,1200.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Muhammad Tariq Hasni is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Mohammad Aslam Mengal,"Orthopedic Surgeon, Orthopedic Surgeon, Pediatric Orthopedic Surgeon",Quetta,11.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Mohammad Aslam Mengal is a dedicated professional with a passion for patient care.,False
Dr. Shams Ullah,"Orthopedic Surgeon",Chaman,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Shams Ullah is a dedicated professional with a passion for patient care.,True
Prof. Dr. Eid Muhammad Mandokhail,"Orthopedic Surgeon, Pain Specialist",Quetta,17.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Prof. Dr. Eid Muhammad Mandokhail is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. K B Umrani,"Orthopedic Surgeon, Orthopedic Surgeon",Quetta,20.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. K B Umrani is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Muhammad Humayun Hameed,"Orthopedic Surgeon, Pain Specialist",Quetta,11.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. Muhammad Humayun Hameed is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Jamil Ahmed Zehri,"Orthopedic Surgeon, Pediatric Orthopedic Surgeon, Spinal Surgeon",Quetta,6.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Jamil Ahmed Zehri is a dedicated professional with a passion for patient care.,True
Dr. Rizwan Riaz,"Pediatrician",Quetta,14.0,700.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Dr. Rizwan Riaz is a dedicated professional with a passion for patient care.,True
Dr. Muhammad Hussain,"Pediatrician, Neonatologist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Muhammad Hussain is a dedicated professional with a passion for patient care.,True
Dr. Mohammad Yousaf Kakar,"Pediatrician",Quetta,5.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Mohammad Yousaf Kakar is a dedicated professional with a passion for patient care.,True
Assoc. Prof. Dr. Muhammad Tahir Zehri,"Pediatrician, Neonatologist",Quetta,10.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Assoc. Prof. Dr. Muhammad Tahir Zehri is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Shamsuddin Kakar,"Pediatrician",Quetta,10.0,500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. Shamsuddin Kakar is a dedicated professional with a passion for patient care.,True
Dr. Ghulam Jelani,"Pediatrician",No Address Available,12.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Dr. Ghulam Jelani is a dedicated professional with a passion for patient care.,False
Dr. Sharaf Ud Din Achakzai,"Pediatrician",Quetta,10.0,200.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Sharaf Ud Din Achakzai is a dedicated professional with a passion for patient care.,False
Dr. Paras Shahzad,"Pediatrician",Quetta,5.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Dr. Paras Shahzad is a dedicated professional with a passion for patient care.,False
Dr. Muhammad Ameer,"Pediatrician",Quetta,7.0,300.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Muhammad Ameer is a dedicated professional with a passion for patient care.,True
Dr. Shaukat Ali,"Pediatrician",Quetta,18.0,500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Shaukat Ali is a dedicated professional with a passion for patient care.,False
Dr. Hashmat Ullah,"Pediatrician",No Address Available,11.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Dr. Hashmat Ullah is a dedicated professional with a passion for patient care.,False
Dr. Ameer Ali,"Pediatrician",No Address Available,9.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,92.0,Dr. Dr. Ameer Ali is a dedicated professional with a passion for patient care.,False
Assoc. Prof. Dr. Suresh Kumar,"Endocrinologist, General Physician, Internal Medicine Specialist",Quetta,15.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Assoc. Prof. Dr. Suresh Kumar is a dedicated professional with a passion for patient care.,False
Prof. Dr. Muhammad Nadir Khan,"General Physician, Psychiatrist, Internal Medicine Specialist, Rheumatologist, Diabetologist",Quetta,31.0,2500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Prof. Dr. Muhammad Nadir Khan is a dedicated professional with a passion for patient care.,False
Dr. Muhammad Muddasser Khan Panezai,"Rheumatologist, General Physician, Pain Specialist",Quetta,8.0,2500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Muhammad Muddasser Khan Panezai is a dedicated professional with a passion for patient care.,True
