HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Riaz Hospital,Sargodha,49 Tail,"Riaz Hospital, 49 Tail, Faisalabad Road, Sargodha, 49 Tail, Sargodha",4,483750643
Kings Hospital,Sargodha,Faisalabad Road,"Kings Hospital, 1 Kilometer 47 Pul, Faisalabad Road, Sargodha",4,483259880
Khizar Hospital,Sargodha,Faisalabad Road,"Khizar Hospital, 2Pp2+H72, Faisalabad Rd, Asad Park Phase 1, Faisalabad Road, Sargodha",3,483750205
Tufail Hospital,Sargodha,Faisalabad Road,"Tufail Hospital, Pull - 11, Faisalabad Road, Faisalabad Road, Sargodha",1,3111222398
Bhatti Medical Complex Hospital,Sargodha,Faislabad Rd,"Bhatti Medical Complex Hospital, 49-Tail, Faislabad Rd, Sargodha",5,483750200
Zeenat Rehab & Physiotherpy Clinic,Sargodha,Goal Chowk,"Zeenat Rehab & Physiotherpy Clinic, Goal Chowk, Zeenat Lab, Near To Meezan Bank, Goal Chowk, Sargodha",-,3111222398
Novocare Health Service Pharmacy Lab Clinic,Sargodha,Lahore Road,"Novocare Health Service Pharmacy Lab Clinic, Near Al-Fatah Shopping Mall, Lahore Road, Sargodha",-,0343 4692021
Gulzar Dental Lab Hospital,Sargodha,Mianwali Rd,"Gulzar Dental Lab Hospital, Niazi Chowk, Mian Khan Rd, Block 7, Mianwali Rd, Sargodha",1,3006038297
Zeenat Lab And Rehab Centre,Sargodha,Near Gol Chowk,"Zeenat Lab And Rehab Centre, Main Bazar, Near Gol Chowk, Sargodha",1,3026724768
Rehman Lab Diagnostic Hospital,Sargodha,New Satellite Town,"Rehman Lab Diagnostic Hospital, 701 A, New Satellite Town, Sargodha",-,3216005770
Dental Solutions Hospital,Sargodha,Satellite Town,"Dental Solutions Hospital, 701 A Rehman Lab Near Munir Hospital, Satellite Town, Sargodha",2,3006036003
Reet Color Doppler Ultrasound Hospital,Shahdadpur,Shahdadpur,"Reet Color Doppler Ultrasound Hospital, Bhittai Medical Centre, Janipura, Sh?Hd?Dpur, Shahdadpur",3,3009371271
Pak Lab Hospital,Sheikhupura,Civil Lines,"Pak Lab Hospital, Lahore-Sargodha Rd, Civil Lines,, , Civil Lines, Sheikhupura",-,3354139569
My Family Clinic,Sheikhupura,Faisalabad Road,"My Family Clinic, Gulistan Park, Faisalabad Road, Sheikhupura",1,3025951111
Dr Faiz Lab Hospital,Sialkot,Lalazar Chowk,"Dr Faiz Lab Hospital, Lalazar Chowk Commissioner Road, Lalazar Chowk, Sialkot",1,3338643325
Capt Dr Munawar Javed Mian Clinic,Sialkot,Lalazar Chowk,"Capt Dr Munawar Javed Mian Clinic, Commissioner Rd Near Zahra Lab, Lalazar Chowk, Sialkot",1,524570656
Dr Abdul Sattar Lab Hospital,Sialkot,Muhammadpura,"Dr Abdul Sattar Lab Hospital, Sohail Tufail, Main Lab Near Quaid Pharmacy, Street Dr, Commissioner Rd, Muhammadpura, Sialkot",2,524566745
Sahara Lab & Diagnostic Center,Swabi,Swabi,"Sahara Lab & Diagnostic Center, Al Karm Plaza Opposite To Dhq, Swabi, Swabi",2,3157913612
Sahara Lab & Diagnostic Centre,Swabi,Swabi,"Sahara Lab & Diagnostic Centre, Swabi - Jahangira Rd, Ali Plaza, Opposite Dhq Hospital, Swabi, Swabi",-,938222234
Shah Medical Centre,Timergara,Dir Lower,"Shah Medical Centre, Opposite Shaukath Khanum Collection Lab Opposite District Hospital, Dir Lower, Timergara",1,3059489396
Al Sehat Medical Complex (Timergara) Hospital,Timergara,Opposite Dhq Hospital,"Al Sehat Medical Complex (Timergara) Hospital, Near Shoukat Khanum Laboratory, Opposite Dhq Hospital, Timergara",1,3111222398
Physical Therapy And Pain Management Clinic,Toba-Tek-Singh,Pir Mahal,"Physical Therapy And Pain Management Clinic, Infront Of Shaukat Khanum Lab Collection Center, Hospital Rd, Pir Mahal, Toba Tek Singh",-,3338937012
